web-scraper-order;address_raw;datetime;rooms;area;luxurious;price;price_per_m2;lat;lon;bfs_number;bfs_name;pop;pop_dens;frg_pct;emp;tax_income;dist_supermarket
1662023783-1110;Grosswiesenstrasse 22, 8051 Zürich, ZH;17.09.2022 11:44;2;43;0;1265;29.42;47.40335846;8.583616257;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;495.960174
1662023742-801;Albisriederplatz 1, 8003 Zürich, ZH;17.09.2022 11:44;3;68;0;2900;42.65;47.37791061;8.510482788;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;59.66524612
1662023723-654;8046 Zürich, ZH;17.09.2022 11:44;3.5;105;0;1990;18.95;47.42034149;8.502178192;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;308.0300828
1662023777-1067;Wehntalerstrasse 286, 8046 Zürich, ZH;17.09.2022 11:44;4.5;101;0;2570;25.45;47.41147232;8.525978088;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;37.93871267
1662023813-1357;Herrligweg 9, 8048 Zürich, ZH;17.09.2022 11:44;1.5;32;0;2070;64.69;47.38989258;8.484477997;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;233.8651918
1662023714-584;8001 Zürich, ZH;17.09.2022 11:44;1;28;0;2699;96.39;47.36893463;8.541392326;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;7.371820841
1662023771-1030;Parkring 57, 8002 Zürich, ZH;17.09.2022 11:44;5;187;1;8900;47.59;47.36673355;8.528434753;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;351.3913404
1662023755-901;Seestrasse 412, 8038 Zürich, ZH;17.09.2022 11:44;3.5;84;0;3190;37.98;47.34281921;8.535778999;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;526.8369743
1662023767-1008;Langwiesstrasse, 8050 Zürich, ZH;17.09.2022 11:44;3.5;78;0;2130;27.31;47.41059875;8.53764534;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;363.9142439
1662023714-594;8053 Zürich, ZH;17.09.2022 11:44;2.5;60;0;2780;46.33;47.35861588;8.578998566;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;499.5722125
1662023807-1315;Witikonerstrasse 297, 8053 Zürich, ZH;17.09.2022 11:44;2.5;63;0;1950;30.95;47.359478;8.585931778;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;38.17423507
1662023730-710;Soodstrasse 88, 8041 Zürich, ZH;17.09.2022 11:44;4.5;97;0;3850;39.69;47.32582855;8.518373489;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;299.1223701
1662023723-658;Letzigraben 120, 8047 Zürich, ZH;17.09.2022 11:44;1.5;37;0;1947;52.62;47.37661362;8.49714756;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;18.30040724
1662023717-624;Seestrasse 412, 8038 Zürich, ZH;17.09.2022 11:44;3.5;84;0;3460;41.19;47.34281921;8.535778999;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;526.8369743
1662023739-791;Badenerstrasse  250, 8004 Zürich, ZH;17.09.2022 11:44;3.5;74;1;4200;56.76;47.37598801;8.516037941;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;108.2571857
1662023795-1216;Ziegelstrasse 20, 8038 Zürich, ZH;17.09.2022 11:44;3.5;61;0;1490;24.43;47.34078217;8.528296471;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;175.3358759
1662023736-747;8052 Zürich, ZH;17.09.2022 11:44;2.5;70;1;3300;47.14;47.41648865;8.54884243;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;339.8709852
1662023777-1077;Soodstrasse 90, 8041 Zürich, ZH;17.09.2022 11:44;1.5;231;0;2990;12.94;47.3256073;8.518198967;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;290.4669994
1662023686-362;Hofwiesenstrasse 135, 8057 Zürich, ZH;17.09.2022 11:44;3.5;90;0;3800;42.22;47.39908981;8.532793999;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;27.78041025
1662023804-1295;Wiesliacher 16, 8053 Zürich, ZH;17.09.2022 11:44;4;108;0;2435;22.55;47.35474014;8.599199295;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;695.2257646
1662023711-558;Staffelstrasse 13, 8045 Zürich, ZH;17.09.2022 11:44;3.5;110;0;5870;53.36;47.36064529;8.520667076;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;341.3301121
1662023780-1099;Grosswiesenstrasse 2, 8051 Zürich, ZH;17.09.2022 11:44;2;43;0;1235;28.72;47.40344238;8.582525253;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;514.4449625
1662023695-455;Kasernenstrasse 11, 8004 Zürich, ZH;17.09.2022 11:44;1;59;0;2270;38.47;47.37397003;8.531791687;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;119.8573931
1662023783-1128;Zwinglistrasse 35, 8004 Zürich, ZH;17.09.2022 11:44;3;49;0;2670;54.49;47.37862396;8.527950287;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;206.102605
1662023707-546;Rigistr. 52, 8006 Zürich, ZH;17.09.2022 11:44;4.5;126;0;4330;34.37;47.38480377;8.550923347;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;214.0885414
1662023755-889;Schwandenholzstrasse 232, 8046 Zürich, ZH;17.09.2022 11:44;4.5;108;0;2630;24.35;47.42425537;8.521562576;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;1473.116272
1662023758-915;Walchestr. 25, 8006 Zürich, ZH;17.09.2022 11:44;5;181;0;5320;29.39;47.38114166;8.541439056;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;326.2823181
1662023745-832;Calandastrasse 3, 8048 Zürich, ZH;17.09.2022 11:44;2.5;65;0;1640;25.23;47.38764954;8.489997864;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;85.58337348
1662023701-488;8006 Zürich, ZH;17.09.2022 11:44;3.5;96;0;4500;46.88;47.39287567;8.551520348;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;794.441986
1662023689-395;Billeterstrasse 15, 8044 Zürich, ZH;17.09.2022 11:44;1;29;0;1590;54.83;47.37915802;8.566191673;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;507.1277938
1662023801-1262;Giacomettistrasse 17, 8049 Zürich, ZH;17.09.2022 11:44;1.5;130;0;1800;13.85;47.40287399;8.505340576;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;500.2852682
